,feature
159,McPhails
160,McKiernan
161,McHugh
162,MAGAZINE
163,Litvinsky
164,Leerink
165,ITSA
166,Handojo
167,Gollan
168,GTC
169,EMCâs
170,ELZEIN
171,Duracell
172,Doylestown
173,Doody
174,Doddi
175,DRS
176,DPRC
177,CompUSA
178,Collotta
179,Chow
180,Brother
181,Billiton
182,Avaya
183,Affymax
184,Adamo
185,"88,000"
186,5-34
187,3:03CV463
188,"150,937"
189,03-10297
190,leaking
191,inprofits
192,dentist
193,day\s
194,chewed
195,aninsider
196,WEEK
197,Vertex
198,Toby
199,Stanislav
200,SGLPs
201,SANKER
202,Ropes
203,ROMAN
204,Purchaser
205,Pechiney
206,Parigian
207,ODWAK
208,Musiclands
209,MetroWest
210,Melvinâs
211,Maverick
212,MAHABIR
213,Lazorchak
214,Knees
215,JLG
216,Goel
217,DARRELL
218,Chaganlal
219,CNOOC
220,C-03-32-M
221,Anticevic
222,"476,765"
223,"460,000"
224,3:05CV412
225,14e
226,"1,613"
227,âUnknown
228,variance
229,two-time
230,ofinsider
231,exerting
232,desktop
233,dayâs
234,crystal
235,construed
236,Zhi
237,Woodlands
238,Vorobiev
239,Verret
240,Upjohn
241,Ubiquiti
242,Trivium
243,TrimPatch
244,Tricon
245,Tracinda
246,TJH
247,Steffes
248,Spouse
249,Shuster
250,Seto
251,Scullin
252,Scharn
253,Santanders
254,Sanofi
255,Rosenfield
256,Rosati
257,Rodrigo
258,Ralston
259,Radcliffe
260,Queri
261,Qualcomm
262,Pulling
263,Ponzio
264,Perot
265,Paragon\s
266,Padmore
267,Norridge
268,NEXEN
269,Minerva
270,Medicines
271,MedImmune
272,McKinsey
273,Maillard
274,Macdonald
275,MAAA
276,Lam
277,LIU
278,Kronos
279,Kirch
280,Kielbasa
281,JMRFLN
282,Integon
283,Holley
284,HUSBAND
285,Gosson
286,Golfers
287,Goldwyn
288,Gestion
289,Ferrellgas
290,Faust
291,Elvis
292,Elles
293,Dudas
294,Drucker
295,Dicks
296,DGC
297,Coots
298,Cochrane
299,Clearnet
300,Chantal
301,Cay
302,CBI
303,Black-Jack
304,Bellezza
305,Banca
306,BANKING
307,Amouyal
308,97-cv
309,"79,875"
310,"743,505"
311,"72,202"
312,"62,050"
313,"5,857"
314,"45,688"
315,"4,003,669"
316,"394,486"
317,2001-43
318,"190,621"
319,"148,219"
320,"102,770"
321,08-CV-4918
322,05-CV-8016
323,xbox
324,x1578u
325,upcoming
326,tubing
327,tradingin
328,tothree
329,toinstruct
330,toentry
331,tippee\s
332,tippedher
333,theinside
334,thecourse
335,thePacific
336,theInsider
337,takeovers
338,suspicious
339,surgeries
340,stockon
341,stockFirst
342,statements
343,society
344,share
345,seniorvice
346,rem
347,quarter
348,purchase
349,proceeds
350,possession
351,phrases
352,options
353,ongoing
354,lymphoma
355,loves
356,investors
357,ininsider
358,inbreach
359,heragainst
360,greed
361,graphic
362,granted
363,gains
364,fraternity
365,forhimself
366,flowing
367,dropped
368,deduction
369,count
370,console
371,confided
372,comprises
373,briefed
374,booth
375,anti-acne
376,animated
377,andstock
378,andillegal
379,andWaizman
380,andGerard
381,alleges
382,afterward
383,afternoons
384,advanceof
385,aclose
386,Zwerko
387,Zachariah
388,Yohn
389,Wilshire\s
390,Willey
391,Wesa
392,Wellcome
393,Warde\s
394,Warde
395,Waldyr
396,Waksals
397,Wael
398,WSBC
399,WORKER
400,WBD
401,Vlad
402,Verifone
403,Uniteds
404,Ugedo
405,USCS
406,Tradingand
407,Traboulsi
408,Tortora
409,Todorov
410,Tocci
411,Tipped
412,Thotam
413,Thifault
414,Therapy
415,Theater
416,Teren
417,Teledata
418,Tarasevich
419,Tafeen
420,TRABOULSI
421,THECALL
422,Swann
423,Sunnyvale
424,SunSource
425,Sumitomo
426,Sudol
427,Stokke
428,Steen
429,Sonsini
430,Soloskis
431,Slate
432,Slaine
433,Skowron
434,Siska
435,Sillerman
436,Shanks
437,Shahryar
438,Securitas
439,Secteur
440,Scranton
441,Sargent
442,SangStat
443,Sandoz\s
444,Sandoz
445,Salvage
446,Sallie
447,Saleh
448,Safronchik
449,Sacks
450,STRICOFF
451,STODDART
452,SHANK
453,SCHER
454,SAs
455,SAP
456,SAFRONCHIK
457,SABINA
458,Russells
459,Ruffolo
460,Roys
461,Roundtable
462,Rong
463,Rohm
464,Roca
465,Robles
466,Rinehart
467,Relative
468,Reier
469,Rehoboth
470,Reema
471,Reeboks
472,Reebok
473,Recall
474,Ramsey
475,Ramana
476,ROBLES
477,RAB
478,Qualcomms
479,Pupynin
480,Prevention
481,Presleys
482,Pratima
483,Post-It
484,Pirie
485,Pileggi
486,Philips
487,Pharmasset
488,Petit
489,Peopleline
490,Penelope
491,Parvin
492,Paparrizos
493,PROCEEDS
494,PMAs
495,PLAYER
496,PANGULURI
497,OnTrak
498,Olympus
499,Ofstedahl
500,OAK
501,Norwegian
502,Nipro
503,Naumann
504,Nassberg
505,NONPUBLIC
506,Morganand
507,Monie
508,MoneyJoe
509,Mineola
510,Midpoint
511,MidSouth
512,Messina
513,Melinda
514,Medtronic
515,Medstat
516,Marín
517,Martucci
518,Martellos
519,Martek
520,Mapco
521,MapInfo
522,Mamma
523,MYRONI
524,MUENSTER
525,MOONEY
526,MDS
527,MARTUCCI
528,MARIA
529,MANZO
530,Lycourgos
531,Luther
532,Lum
533,Luc
534,Loomans
535,Lonza
536,Loctite
537,Leyva
538,Lena
539,Lefford
540,Latona
541,Larrabee
542,Lansdale
543,Langston
544,Lampros
545,LORRE
546,LORENE
547,LCI
548,LCD
549,Kyprianou
550,Kooden
551,Kinnucan
552,Katonah
553,Kao
554,KUNG-FU
555,KLINE
556,June18
557,Jauyo
558,Janak
559,Jamdat
560,Insiders
561,Ignacio
562,Iamnaita
563,INSTRUCTOR
564,IDX
565,IBRAHIM
566,Hyon
567,Household
568,Hasmukh
569,Hardware
570,Hanold
571,Haas
572,HUSSEIN
573,HOMES
574,HERMAN
575,HALTON
576,Gruman
577,Grewals
578,Greenwald
579,Grapevine
580,Goehring
581,GlobalNet
582,Ginsburgs
583,Genetic
584,GSI
585,GREENWALD
586,GIANAMORE
587,GAMES
588,Fleishman
589,Faulhaber
590,FMR
591,FERRY
592,FBR
593,FALBO
594,Evaluation
595,Eugenia
596,Escandon
597,Ensors
598,ELLISON
599,ELBAUM
600,EIHC
601,EEX
602,ECNI
603,Drimal
604,Doffing
605,Dischino
606,Dickman
607,Debevoise
608,DeSoto
609,Davi
610,DURACELL
611,DHBs
612,DHB
613,Cravath
614,Covidien
615,Coudree
616,Corning
617,Concetta
618,Conceal
619,Compuware
620,CompuDyne
621,Colli
622,Cirrus
623,Cimarex
624,Chrysikos
625,Cheltenham
626,CheckFree
627,Chardonnay
628,Chanin
629,Chanhassen
630,Chakrapani
631,Catherwood
632,Cassese
633,Carterâs
634,Carrekers
635,Carreker
636,Camps
637,CalMicro
638,CURTISS
639,CNS
640,CIGNA
641,CHMP
642,CHIN
643,Burger
644,Bucky
645,Bruyette
646,Brianna
647,Bravermans
648,Borac
649,Blackwells
650,Bayyouk
651,Barai
652,BURCH
653,BROADBAND
654,BHPs
655,B96-834
656,Axiaq
657,Aviall
658,Ashish
659,Arrowoods
660,Ariads
661,Ariad
662,Arch
663,"Antar,48"
664,Anonymous
665,Annuity
666,Ancor
667,Anacot
668,Ammar
669,Amgen
670,Allegiance
671,Aliza
672,Agrawal
673,Adondakis
674,Abu
675,APL
676,ANGELOS
677,ANDREA
678,ADPI
679,ABL\s
680,AAH
681,"99,527"
682,98-416-GLT
683,"965,000"
684,96-5150
685,96-1661
686,"917,239"
687,"88,555"
688,"86,750"
689,"833,000"
690,"83,625"
691,"82,439"
692,"804,367"
693,"8,552"
694,"8,125"
695,"79,581"
696,"74,411"
697,"74,000"
698,"70,110"
699,"7,157"
700,"683,000"
701,"68,277"
702,"629,820"
703,"61,800"
704,"6,550"
705,5digit
706,"56,832"
707,"5,938"
708,"5,583"
709,"5,254"
710,"5,250"
711,497-060
712,"438,000"
713,"43,700"
714,"420,195"
715,"338,000"
716,"300,233"
717,"30,403"
718,3-12503
719,"3,505"
720,"3,063"
721,2:06
722,"29,017,156"
723,"285,505"
724,"276,259"
725,"27,348"
726,26-month
727,"251,190"
728,"243,667"
729,"221,172"
730,"22,500"
731,"22,204"
732,"21,117"
733,2016-24
734,"201,146"
735,1\s
736,1984of
737,"197,994"
738,"197,243"
739,"19,197"
740,18156May
741,15666March
742,15289March
743,14982July
744,"142,368"
745,13-11
746,"13,100"
747,"10,761"
748,"1,847"
749,"1,552,566"
750,"1,171"
751,"1,168"
752,09-cv-1833
753,08-265
754,07-CV
755,05-MSK-480
756,05-CV-1937
757,03-CV-63
758,02-C-0582
759,02-01605
760,00on
761,âBurger
762,yearold
763,x07OnJuly
764,worth
765,wet
766,weekâs
767,wasunaware
768,wasfiled
769,violations
770,viable
771,van
772,upset
773,underway
774,unblinded
775,twoSwedish
776,trial
777,trading
778,trade
779,told
780,toamend
781,toKeith
782,throughan
783,theybe
784,therefor
785,theprompt
786,then-Kidde
787,theletter
788,theillegal
789,thatperiod
790,thatcall
791,ten
792,tasked
793,systems
794,surrender
795,suppressed
796,successor
797,subjecting
798,strike
799,stockwere
800,spinal
801,sonswere
802,snooping
803,short
804,sheriff
805,sharesand
806,settle
807,session
808,"sell9,000"
809,sapphires
810,sale
811,riverboat
812,restates
813,residing
814,purchasing
815,proposed
816,promoter
817,prohibits
818,profits
819,prices
820,plausible
821,php
822,phone
823,person
824,percent
825,parents
826,own
827,overridden
828,optionsand
829,openedat
830,omission
831,ofbooks
832,ofafinal
833,ofVivra
834,ofSkybox
835,ofIIS
836,ofBoxford
837,obtaining
838,non-public
839,netof
840,nephews
841,necessity
842,nameP3_37
843,months
844,monoclonal
845,minerals
846,millions
847,mean
848,matter
849,longtime
850,loans-a
851,little
852,limited
853,license
854,letter
855,jointly
856,isin
857,inveterate
858,intimate
859,inside
860,inquiring
861,industries
862,inClearys
863,imperiled
864,immediate
865,illicit
866,illegally
867,iNTELEFILM
868,http
869,hisprofit
870,hisduty
871,hisconduct
872,hisclients
873,himas
874,hepay
875,held
876,giving
877,girlfriend
878,gif
879,getting
880,frozenin
881,friend
882,fraudulent
883,framework
884,former
885,forged
886,forOctober
887,footnote
888,followed
889,finding
890,filing
891,father
892,falsified
893,fallbelow
894,failure
895,exorbitant
896,executive
897,especially
898,enjoins
899,eggs
900,earnings
901,earlier
902,drop
903,disgorge
904,discounted
905,deny
906,defendents
907,defendants
908,dealerfor
909,day
910,counseling
911,copies
912,conveyed
913,controlled
914,consent
915,compounded
916,comply
917,company\s
918,collapse
919,claimed
920,civil
921,charging
922,cerebral
923,casewas
924,byCarlos
925,business
926,bought
927,books
928,basis
929,ban
930,average
931,authority
932,attorneys
933,atIndosuez
934,assistance
935,assetsfrom
936,as-yet
937,anti-fraud
938,annual
939,anew
940,andseeking
941,andShepard
942,andHashman
943,andCarl
944,andBeverly
945,and20
946,analyst
947,anIsraeli
948,alleged
949,aka
950,agreement
951,agent
952,againsther
953,affixed
954,aerospace
955,advisors
956,advisor
957,advising
958,advance
959,admitting
960,activity
961,actionable
962,acting
963,acre
964,acquirers
965,acquiredby
966,acquire
967,accessed
968,abusiness
969,abetting
970,a\x0cSTART
971,aPRIL
972,Zulilys
973,Zishen
974,Zilkha
975,Zev
976,York
977,Yahoos
978,YOUNGMAN
979,YOLANDA
980,Worker
981,Wann
982,WalterE
983,Walsh\x92s
984,WITTMAN
985,WDArk
986,W3CDTD
987,Vision\s
988,Verrill
989,VaxGens
990,VICI
991,Unknown
992,Univisions
993,United
994,USDCN
995,UPB
996,UFJ
997,Turchetta
998,Thotams
999,Telvent
1000,TSAO
1001,THERM
1002,TECH
1003,T2\sFirst
1004,T2\s
1005,Synetic
1006,Swift
1007,Suter
1008,Surgeons
1009,Supercuts
1010,SunValley
1011,Sudols
1012,Stevan
1013,Stanyer
1014,Spivak
1015,Sperrys
1016,Spandex
1017,Soroosh
1018,Skiva
1019,ShowCase
1020,ShowBoat
1021,Shivbir
1022,Serenella
1023,Seibalds
1024,Section
1025,Secretary
1026,Scolaros
1027,Schwartzs
1028,Sawamura
1029,San
1030,Sambranos
1031,Sambrano
1032,Samberg
1033,Sabet
1034,SPANNING
1035,SOISSON
1036,SMYTH
1037,SMATH
1038,SLT
1039,SERIAL
1040,SECRETARY
1041,SCHULZ
1042,SARGENT
1043,Ruskin
1044,Rule
1045,Rorech
1046,Retail
1047,Reliefas
1048,Reiss\s
1049,Rays
1050,Rajni
1051,Radler
1052,Racliffe
1053,ROSEANN
1054,RMHT
1055,REXE
1056,RELATIVES
1057,RANDY
1058,RAISOR
1059,RADLER
1060,QUALCOMMS
1061,Pushpendra
1062,Purina
1063,Prevost
1064,Prempro
1065,Poland
1066,Pirates
1067,Pinkerton
1068,Petrello
1069,Periotec
1070,Penumarty
1071,Panzers
1072,Palumbo
1073,Paganos
1074,PURINA
1075,PUMP
1076,PRESCOTT
1077,PELLETT
1078,PDA
1079,PAY
1080,PAPSON
1081,Orient
1082,Onthe
1083,Omrix
1084,Office
1085,October
1086,Obtains
1087,O\CONNELL
1088,OPTIONS
1089,OCCs
1090,Novartis
1091,Netzer
1092,Networks
1093,Neto
1094,Nasgovitz
1095,Naples
1096,NTELOS
1097,NLS
1098,NCP
1099,NASD
1100,Mulligan
1101,Morrisey
1102,Moriarty\s
1103,Moriarty
1104,Montreal
1105,MiniMed
1106,Minas
1107,Micromass
1108,MichaelG
1109,Michael
1110,Metzger
1111,Merixs
1112,Menachem
1113,McClellans
1114,May31
1115,Martines
1116,Marinis
1117,Manning
1118,Malaysian
1119,Mahwah
1120,Magnolia
1121,Ludlow
1122,Lou
1123,Loef
1124,Litigaton
1125,Lipke
1126,Linkon
1127,Lighthouse
1128,Lewisburg
1129,Lenders
1130,Lake
1131,Ladins
1132,LR-20249
1133,LLC
1134,LAWS
1135,LARRABEE
1136,Kryzda
1137,Knitting
1138,Kleinbaum
1139,KimBubolo
1140,KSRcommon
1141,KRATOCHVIL
1142,KEYSTONE
1143,Jurys
1144,Junhua
1145,June15
1146,Juice
1147,Judgments
1148,Jollaâ
1149,Job
1150,Jishuang
1151,Jewell
1152,January26
1153,Janice
1154,Jacobi
1155,JUDGMENTS
1156,JUDGEMENT
1157,JOHNSON
1158,Invitrogen
1159,Investment
1160,Intergroup
1161,Interact
1162,Ingen
1163,Indosuez
1164,Inbrand
1165,ImageX
1166,Ilsley
1167,Idenix
1168,IVs
1169,ITSFEA
1170,ISAACSON
1171,INGs
1172,Home
1173,Hockett
1174,Henderson
1175,Helvetias
1176,Hed\xe9n
1177,Healthcare
1178,Hamrick
1179,Halton
1180,HOMESTORES
1181,HISLOP
1182,HIRKO
1183,HASHMAN
1184,HARRIET
1185,Guth
1186,Guerrilla
1187,Gowrish
1188,Goddens
1189,Gitano
1190,Gilak
1191,George
1192,Galpern
1193,G\xf6ran
1194,GLUCK
1195,GARZONI
1196,G-2
1197,Funds
1198,Franco
1199,Fradella
1200,Florida
1201,Fiser
1202,Financial
1203,Fight
1204,February
1205,FSI
1206,FREDRICK
1207,FORMER
1208,FNAT
1209,FISCH
1210,FELIX
1211,FAUSTThe
1212,Executing
1213,Escentuals
1214,Esbriet
1215,Ensor
1216,Elton
1217,Eitans
1218,Eitan
1219,Efrim
1220,Education
1221,ETAL
1222,ENSOR
1223,EESs
1224,ECONNECT
1225,Durandos
1226,Dorschs
1227,Dominick
1228,Dobrow
1229,Deskovick
1230,Denison
1231,Dealers
1232,DeWalt
1233,David
1234,Daniel
1235,DSM
1236,DSJ
1237,DSI
1238,DNP
1239,DKD
1240,DIRECTORS
1241,DEFENDANT
1242,DEEPAKN
1243,CyberKeys
1244,CyberKey
1245,Crim
1246,Coppero
1247,Condition
1248,Compaq
1249,Company
1250,Cluffs
1251,Clayton
1252,Ciscos
1253,Chi-lin
1254,Charges
1255,Chapel
1256,Chaos
1257,Cerberus
1258,Cavium
1259,Cauthron
1260,Candela
1261,Callon
1262,Calders
1263,CalMicros
1264,CV-97-7207
1265,CV-134-R
1266,CV-105412
1267,COMMISSION
1268,CISCO
1269,CEO
1270,C242-DM1
1271,Busyboxs
1272,Busby\s
1273,Bureau
1274,Bucknum
1275,Brown
1276,Bradlee
1277,Borish
1278,Bewkes
1279,Berlachers
1280,Berlacher
1281,Bay
1282,Baudo
1283,Bartzoffs
1284,Bartel
1285,Baroni
1286,Barkouras
1287,BRI
1288,BERNHARD
1289,BEN-YEHUDA
1290,BECKWITT
1291,BARTEL
1292,Avialls
1293,Aragon
1294,Aptosyn
1295,Antons
1296,Andlingers
1297,Amtico
1298,Ag-Chem
1299,Adhesion
1300,Act
1301,ARNON
1302,ANNOUNCE
1303,ANNABARONI
1304,AMPLIFIER
1305,9th
1306,98-CV-1576
1307,98-21004
1308,978-6447
1309,97-CV-6018
1310,97-7091
1311,97-1914
1312,97-0612
1313,"97,171"
1314,96-17
1315,94Civ
1316,"94,182"
1317,"93,452"
1318,"9,715"
1319,"9,700"
1320,"874,589"
1321,"85,939"
1322,"83,528"
1323,8-K
1324,"8,769,903"
1325,"79,437"
1326,"79,000"
1327,"778,016"
1328,"77,213"
1329,"737,628"
1330,"731,169"
1331,"71,361"
1332,"7,925"
1333,"7,493,000"
1334,"7,012"
1335,"683,967"
1336,"63,855"
1337,"63,517"
1338,"62,353"
1339,"62,147"
1340,"616,000"
1341,"615,000"
1342,"61,839"
1343,60or
1344,"6,892"
1345,"6,724"
1346,"59,688"
1347,"59,300"
1348,"57,947"
1349,"57,656"
1350,565-9202
1351,"562,000"
1352,"54,666"
1353,"530,119"
1354,"53,500"
1355,"50,002"
1356,"5,820"
1357,"5,159"
1358,"5,102"
1359,"497,304"
1360,"48,116"
1361,"47,312"
1362,"47,266"
1363,"44,632,464"
1364,"437,770"
1365,"432,000"
1366,"43,554"
1367,"427,000"
1368,"42,546"
1369,"419,318"
1370,"4,719"
1371,"4,312"
1372,"4,272"
1373,"4,147"
1374,"4,020"
1375,"397,110"
1376,"39,331"
1377,"39,124"
1378,"383,463"
1379,"38,160"
1380,"377,786"
1381,"362,051"
1382,"360,667"
1383,"36,789"
1384,"343,000"
1385,34-57755
1386,34-55842
1387,34-54924
1388,34-51408
1389,34-40425
1390,"34,138"
1391,"330,427"
1392,"33,729"
1393,"316,461"
1394,"31,672"
1395,"31,364"
1396,"31,1994"
1397,"308,428"
1398,"305,984"
1399,"30,300"
1400,"30,1998ofa"
1401,3-12008
1402,3-11071
1403,3-10937
1404,"3,280"
1405,2his
1406,"297,200"
1407,"293,790"
1408,"27,993"
1409,"258,750"
1410,"254,858"
1411,"25,737"
1412,2475August
1413,"247,289"
1414,"24,587"
1415,"231,000"
1416,"23,402"
1417,"23,332"
1418,2279July
1419,"22,337"
1420,"22,290"
1421,21465March
1422,21099June
1423,21069June
1424,"210,004"
1425,"21,569"
1426,2065July
1427,20624June
1428,20485March
1429,"202,701"
1430,20129May
1431,20106May
1432,2006-just
1433,2004May
1434,"2,831"
1435,"2,699,287"
1436,19995A
1437,19738June
1438,19722June
1439,19318July
1440,19306July
1441,"193,108"
1442,19236May
1443,19190April
1444,19150March
1445,"191,521"
1446,"19,608"
1447,"19,000"
1448,18803July
1449,18717May
1450,"187,996"
1451,18658April
1452,18134May
1453,18129May
1454,18122May
1455,18106April
1456,1802June
1457,"18,856"
1458,"18,1997"
1459,"18,007"
1460,17545June
1461,17498May
1462,16a-2and
1463,"168,782"
1464,1611August
1465,1606July
1466,"16,747"
1467,"16,550,000"
1468,"16,507"
1469,"16,320"
1470,15754May
1471,"157,066"
1472,"152,068"
1473,14933June
1474,14861April
1475,14854March
1476,14838March
1477,"147,628"
1478,"146,850"
1479,"145,399"
1480,"14,400"
1481,"14,389"
1482,13b2-2
1483,13b2-1
1484,"137,997"
1485,"137,256"
1486,"134,158"
1487,"13,978,752"
1488,"13,273"
1489,"129,869"
1490,"129,350"
1491,12-CV-0409
1492,"12,650"
1493,"12,043"
1494,"114,805"
1495,11-quarter
1496,"11,894"
1497,"11,512"
1498,"11,389"
1499,"11,224"
1500,"11,025"
1501,"105,750"
1502,"105,693"
1503,"105,241"
1504,"104,496"
1505,10-CV-777
1506,"10,944"
1507,"10,000"
1508,"1,997"
1509,"1,809,857"
1510,"1,726,809"
1511,"1,547,557"
1512,"1,453,401"
1513,"1,406"
1514,"1,398,641"
1515,"1,370"
1516,"1,341,424"
1517,"1,262,928"
1518,"1,204,777"
1519,"1,184"
1520,"1,183"
1521,"1,055,500"
1522,06-2274
1523,04C03761
1524,03-4202
1525,02-C-7082
1526,class
